Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[11]     1.8    0.03    0.00      12         rrtm_taumol1_ [11]
-----------------------------------------------
                0.03    0.00      12/12          rrtm_gas_optical_depth_ [5]
[12]     1.8    0.03    0.00      12         rrtm_taumol3_ [12]
-----------------------------------------------
                0.03    0.00      12/12          __radiation_ifs_rrtm_MOD_gas_optics [3]
[13]     1.8    0.03    0.00      12         __radiation_ifs_rrtm_MOD_planck_function_atmos [13]
-----------------------------------------------
                0.02    0.00      12/12          rrtm_gas_optical_depth_ [5]
[14]     1.2    0.02    0.00      12         rrtm_taumol11_ [14]
-----------------------------------------------
                0.02    0.00      12/12          rrtm_gas_optical_depth_ [5]
[15]     1.2    0.02    0.00      12         rrtm_taumol4_ [15]
-----------------------------------------------
                0.02    0.00      12/12          rrtm_gas_optical_depth_ [5]
[16]     1.2    0.02    0.00      12         rrtm_taumol5_ [16]
-----------------------------------------------
                0.02    0.00      12/12          rrtm_gas_optical_depth_ [5]
[17]     1.2    0.02    0.00      12         rrtm_taumol7_ [17]
-----------------------------------------------
                0.02    0.00      12/12          rrtm_gas_optical_depth_ [5]
[18]     1.2    0.02    0.00      12         rrtm_taumol8_ [18]
-----------------------------------------------
                0.02    0.00      12/12          rrtm_gas_optical_depth_ [5]
[19]     1.2    0.02    0.00      12         rrtm_taumol9_ [19]
-----------------------------------------------
                0.02    0.00      10/10          srtm_gas_optical_depth_ [9]
[20]     1.2    0.02    0.00      10         srtm_taumol17_ [20]
-----------------------------------------------
                0.02    0.00    9860/9860        __radiation_tripleclouds_sw_MOD_solver_tripleclouds_sw [4]
[21]     1.2    0.02    0.00    9860         __radiation_matrix_MOD_singlemat_x_vec_sw [21]
-----------------------------------------------
                0.02    0.00    9847/9847        __radiation_cloud_optics_MOD_cloud_optics [24]
[22]     1.2    0.02    0.00    9847         __radiation_liquid_optics_socrates_MOD_calc_liq_optics_socrates [22]
-----------------------------------------------
                0.02    0.00     342/342         __radiation_tripleclouds_lw_MOD_solver_tripleclouds_lw [6]
[23]     1.2    0.02    0.00     342         __radiation_two_stream_MOD_calc_no_scattering_transmittance_lw [23]
-----------------------------------------------
                0.00    0.02      12/12          __radiation_interface_MOD_radiation [2]
[24]     1.2    0.00    0.02      12         __radiation_cloud_optics_MOD_cloud_optics [24]
                0.02    0.00    9847/9847        __radiation_liquid_optics_socrates_MOD_calc_liq_optics_socrates [22]
                0.00    0.00  178742/178742      __radiation_cloud_optics_MOD_delta_eddington_scat_od [129]
                0.00    0.00    3653/3653        __radiation_ice_optics_fu_MOD_calc_ice_optics_fu_sw [132]
                0.00    0.00    3621/3621        __radiation_ice_optics_fu_MOD_calc_ice_optics_fu_lw [133]
-----------------------------------------------
                0.01    0.00      12/12          __radiation_ifs_rrtm_MOD_gas_optics [3]
[25]     0.6    0.01    0.00      12         rrtm_prepare_gases_ [25]
-----------------------------------------------
                0.01    0.00      12/12          __radiation_ifs_rrtm_MOD_gas_optics [3]
[26]     0.6    0.01    0.00      12         rrtm_setcoef_140gp_ [26]
-----------------------------------------------
                0.01    0.00      12/12          rrtm_gas_optical_depth_ [5]
[27]     0.6    0.01    0.00      12         rrtm_taumol10_ [27]
-----------------------------------------------
                0.01    0.00      12/12          rrtm_gas_optical_depth_ [5]
[28]     0.6    0.01    0.00      12         rrtm_taumol12_ [28]
-----------------------------------------------
                0.01    0.00      12/12          rrtm_gas_optical_depth_ [5]
[29]     0.6    0.01    0.00      12         rrtm_taumol13_ [29]
-----------------------------------------------
                0.01    0.00      12/12          rrtm_gas_optical_depth_ [5]
[30]     0.6    0.01    0.00      12         rrtm_taumol15_ [30]
-----------------------------------------------
                0.01    0.00      12/12          rrtm_gas_optical_depth_ [5]
[31]     0.6    0.01    0.00      12         rrtm_taumol2_ [31]
-----------------------------------------------
                0.01    0.00      12/12          rrtm_gas_optical_depth_ [5]
[32]     0.6    0.01    0.00      12         rrtm_taumol6_ [32]
-----------------------------------------------
                0.01    0.00      11/11          __radiation_ifs_rrtm_MOD_gas_optics [3]
[33]     0.6    0.01    0.00      11         srtm_setcoef_ [33]
-----------------------------------------------
                0.01    0.00      10/10          srtm_gas_optical_depth_ [9]
[34]     0.6    0.01    0.00      10         srtm_taumol16_ [34]
-----------------------------------------------
