Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.67% of 1.50 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     98.7    0.00    1.48                 frame_dummy [1]
                0.00    1.48       9/9           __radiation_interface_MOD_radiation [2]
-----------------------------------------------
                0.00    1.48       9/9           frame_dummy [1]
[2]     98.7    0.00    1.48       9         __radiation_interface_MOD_radiation [2]
                0.25    0.36      12/12          __radiation_ifs_rrtm_MOD_gas_optics [3]
                0.25    0.23      12/12          __radiation_tripleclouds_sw_MOD_solver_tripleclouds_sw [4]
                0.09    0.15      12/12          __radiation_tripleclouds_lw_MOD_solver_tripleclouds_lw [6]
                0.14    0.00      12/12          __radiation_aerosol_optics_MOD_add_aerosol_optics [8]
                0.01    0.00      12/12          __radiation_cloud_optics_MOD_cloud_optics [35]
                0.00    0.00      12/12          __radiation_single_level_MOD_get_albedos [155]
                0.00    0.00      12/12          __radiation_cloud_MOD_crop_cloud_fraction [148]
                0.00    0.00      12/12          __radiation_flux_MOD_calc_surface_spectral [149]
                0.00    0.00      12/12          __radiation_flux_MOD_calc_toa_spectral [150]
-----------------------------------------------
                0.25    0.36      12/12          __radiation_interface_MOD_radiation [2]
[3]     40.7    0.25    0.36      12         __radiation_ifs_rrtm_MOD_gas_optics [3]
                0.03    0.22      12/12          rrtm_gas_optical_depth_ [5]
                0.01    0.05      12/12          srtm_gas_optical_depth_ [10]
                0.03    0.00      12/12          __radiation_ifs_rrtm_MOD_planck_function_atmos [17]
                0.01    0.00      12/12          rrtm_prepare_gases_ [23]
                0.01    0.00      12/12          rrtm_setcoef_140gp_ [24]
                0.00    0.00      12/12          __radiation_gas_MOD_assert_units_gas [151]
                0.00    0.00      12/12          __radiation_ifs_rrtm_MOD_planck_function_surf [154]
                0.00    0.00      11/11          srtm_setcoef_ [46]
-----------------------------------------------
                0.25    0.23      12/12          __radiation_interface_MOD_radiation [2]
[4]     32.0    0.25    0.23      12         __radiation_tripleclouds_sw_MOD_solver_tripleclouds_sw [4]
                0.21    0.00     832/832         __radiation_two_stream_MOD_calc_ref_trans_sw [7]
                0.02    0.00   10032/10032       __radiation_matrix_MOD_singlemat_x_vec_sw [22]
                0.00    0.00     360/720         __radiation_overlap_MOD_calc_overlap_matrices_nocol [135]
                0.00    0.00      12/24          __radiation_regions_MOD_calc_region_properties [141]
-----------------------------------------------
                0.03    0.22      12/12          __radiation_ifs_rrtm_MOD_gas_optics [3]
[5]     16.7    0.03    0.22      12         rrtm_gas_optical_depth_ [5]
                0.06    0.00      12/12          rrtm_taumol9_ [9]
                0.03    0.00      12/12          rrtm_taumol3_ [14]
                0.03    0.00      12/12          rrtm_taumol5_ [15]
                0.03    0.00      12/12          rrtm_taumol12_ [13]
                0.02    0.00      12/12          rrtm_taumol1_ [18]
                0.02    0.00      12/12          rrtm_taumol7_ [19]
                0.01    0.00      12/12          rrtm_taumol8_ [26]
                0.01    0.00      12/12          rrtm_taumol15_ [25]
                0.01    0.00      11/11          rrtm_taumol10_ [27]
                0.00    0.00      12/12          rrtm_taumol2_ [43]
                0.00    0.00      12/12          rrtm_taumol4_ [44]
                0.00    0.00      12/12          rrtm_taumol6_ [45]
                0.00    0.00      12/12          rrtm_taumol11_ [39]
                0.00    0.00      12/12          rrtm_taumol13_ [40]
                0.00    0.00      12/12          rrtm_taumol14_ [41]
                0.00    0.00      12/12          rrtm_taumol16_ [42]
-----------------------------------------------
                0.09    0.15      12/12          __radiation_interface_MOD_radiation [2]
[6]     16.0    0.09    0.15      12         __radiation_tripleclouds_lw_MOD_solver_tripleclouds_lw [6]
                0.06    0.00     360/360         __radiation_two_stream_MOD_calc_no_scattering_transmittance_lw [11]
                0.04    0.00    5254/5254        __radiation_two_stream_MOD_calc_ref_trans_lw [12]
                0.03    0.00     360/360         __radiation_adding_ica_lw_MOD_calc_fluxes_no_scattering_lw [16]
                0.02    0.00   11363/11363       __radiation_matrix_MOD_singlemat_x_vec_lw [21]
                0.00    0.00     360/720         __radiation_overlap_MOD_calc_overlap_matrices_nocol [135]
                0.00    0.00      12/24          __radiation_regions_MOD_calc_region_properties [141]
-----------------------------------------------
                0.21    0.00     832/832         __radiation_tripleclouds_sw_MOD_solver_tripleclouds_sw [4]
[7]     14.0    0.21    0.00     832         __radiation_two_stream_MOD_calc_ref_trans_sw [7]
-----------------------------------------------
